@relation ../Data/18_edits_alt

@attribute revert_edits numeric
@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute featured_lists numeric
@attribute draft_edits numeric
@attribute featured_articles numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute hasCategoryActivity {1, 0}
@attribute minor_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute hasFeaturedContent {1, 0}
@attribute merge_votes numeric
@attribute hasMultipleAccounts {1, 0}
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute nonminor_edits numeric
@attribute elections numeric
@attribute delete_votes numeric
@attribute images_uploaded numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric
@attribute large_edits numeric


@data
226 , 16 , 20 , 0 , 0 , 0 , 0 , 0 , 23 , 1778 , 1 , 4630 , 1 , 175 , 1 , 472 , 9126 , 2 , 50 , 0 , 506 , 0 , 0 , 0 , 1 , 24 , 0 , 14 , 6 , 100 , 0 , 6648 , 1 , 33 , 0 , 291 , 200 , 10 , 12513 , 936
294 , 6 , 691 , 0 , 0 , 0 , 0 , 0 , 118 , 3578 , 1 , 53044 , 0 , 2111 , 19 , 2215 , 18819 , 0 , 14 , 0 , 811 , 455 , 0 , 0 , 1 , 2299 , 0 , 2 , 3060 , 914 , 0 , 4423 , 1 , 12 , 2 , 103 , 409 , 991 , 31492 , 1579
0 , 0 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 620 , 0 , 0 , 22 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 157 , 1 , 0 , 0 , 0 , 0 , 0 , 24 , 3
0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 1263 , 0 , 2 , 16 , 0 , 0 , 0 , 20 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 17 , 1 , 0 , 0 , 0 , 4 , 0 , 50 , 5
136 , 0 , 31 , 0 , 0 , 0 , 0 , 0 , 0 , 4392 , 1 , 10805 , 0 , 380 , 23 , 116 , 3231 , 0 , 30 , 0 , 961 , 0 , 0 , 0 , 1 , 10 , 0 , 2 , 4 , 48 , 0 , 622 , 2 , 28 , 4 , 11 , 428 , 1 , 9215 , 323
4 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 25 , 0 , 205 , 0 , 1618 , 1 , 81 , 1135 , 0 , 0 , 0 , 7 , 0 , 0 , 0 , 0 , 399 , 0 , 0 , 0 , 92 , 0 , 3085 , 1 , 0 , 28 , 0 , 13 , 0 , 1354 , 539
6 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 51 , 0 , 2 , 0 , 894 , 0 , 13 , 80 , 0 , 0 , 0 , 48 , 0 , 0 , 0 , 1 , 6 , 0 , 0 , 0 , 1 , 0 , 194 , 1 , 0 , 0 , 1 , 55 , 0 , 249 , 8
129 , 3 , 18 , 0 , 1 , 0 , 0 , 0 , 0 , 3519 , 1 , 828 , 0 , 543 , 4 , 1691 , 3384 , 2 , 107 , 0 , 1646 , 0 , 0 , 1 , 1 , 93 , 0 , 23 , 11 , 60 , 0 , 2068 , 1 , 80 , 3 , 95 , 198 , 29 , 10637 , 623
138 , 8 , 37 , 0 , 1 , 0 , 0 , 0 , 1 , 693 , 1 , 574 , 0 , 277 , 26 , 106 , 717 , 0 , 35 , 0 , 482 , 1 , 0 , 0 , 1 , 45 , 0 , 9 , 4 , 27 , 2 , 3283 , 1 , 23 , 6 , 44 , 324 , 15 , 2440 , 962
22 , 0 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 130 , 0 , 0 , 0 , 237 , 0 , 63 , 90 , 0 , 0 , 0 , 44 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 434 , 1 , 0 , 0 , 0 , 0 , 0 , 327 , 82
73 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 1 , 101 , 1 , 2082 , 0 , 2335 , 28 , 335 , 10953 , 0 , 0 , 0 , 121 , 1 , 0 , 0 , 1 , 26 , 0 , 0 , 0 , 42 , 0 , 10794 , 1 , 0 , 14 , 0 , 205 , 14 , 11801 , 479
