username,date_of_election,isSuccessful,votes,edit_count,year_joined,pages_created
Eustress,2010-04-16 23:23:00,1,0,19429,2007,184
Everyking,2010-01-18 21:25:00,1,0,146543,2004,2630
Fainites,2010-08-13 12:14:00,1,0,20907,2006,17
Father Goose,2010-02-02 20:06:00,1,0,9771,2006,102
Fetchcomms,2010-07-02 03:00:00,1,0,41587,2006,268
Floquenbeam,2010-01-12 16:42:00,1,0,19747,2008,8
GorillaWarfare,2010-08-09 21:42:00,1,0,28492,2007,10
Grondemar,2010-12-24 00:31:00,1,0,9525,2009,136
HelloAnnyong,2010-08-25 22:17:00,1,0,42529,2006,116
HJ Mitchell,2010-04-23 20:53:00,1,0,77114,2009,113
J04n,2010-02-02 03:22:00,1,0,95027,2008,88
JamesBWatson,2010-06-14 08:17:00,1,0,117017,2006,22
Jamesofur,2010-04-15 09:29:00,1,0,4619,2006,1
Jmh649,2010-08-13 07:55:00,1,0,4,2014,0
Joe Decker,2010-07-22 18:07:00,1,0,86588,2005,30
Jujutacular,2010-07-22 22:03:00,1,0,18583,2009,48
Kingpin13,2010-02-08 10:33:00,1,0,54735,2008,43
Kww,2010-04-12 23:54:00,1,0,82163,2007,47
Leonard^Bloom,2010-01-22 05:59:00,1,0,18567,2007,783
Leyo,2010-10-18 12:32:00,1,0,12668,2006,60
Looie496,2010-10-04 05:26:00,1,0,24579,2008,40
Magog the Ogre,2010-09-03 18:46:00,1,0,75683,2008,32
Mandsford,2010-08-24 16:07:00,1,0,28394,2007,205
MGA73,2010-06-29 18:53:00,1,0,10293,2008,2
Michig,2010-08-23 22:55:00,1,0,54839,2006,627
Mike Cline,2010-02-05 04:07:00,1,0,49822,2007,118
Mkativerata,2010-08-02 17:39:00,1,0,30318,2007,242
NativeForeigner,2010-06-15 00:56:00,1,0,13586,2006,47
Nev1,2010-08-10 16:40:00,1,0,55258,2006,301
Nikkimaria,2010-08-17 14:14:00,1,0,78529,2005,105
Olaf Davis,2010-01-04 19:40:00,1,0,6975,2006,34
Panyd,2010-11-21 19:11:00,1,0,15020,2007,22
Phantomsteve,2010-02-02 08:37:00,1,0,31847,2005,95
Polargeo,2010-03-30 10:44:00,1,0,9903,2009,68
PresN,2010-11-12 04:02:00,1,0,43367,2006,55
Rlendog,2010-01-09 16:42:00,1,0,77985,2007,474
Ron Ritzman,2010-09-14 01:09:00,1,0,75705,2005,65
Shirik,2010-04-26 00:59:00,1,0,18356,2008,22
Soap,2010-06-09 13:29:00,1,0,23421,2006,144
Sphilbrick,2010-11-11 18:45:00,1,0,61649,2007,47
Taelus,2010-01-26 12:15:00,1,0,7605,2005,28
TFOWR,2010-06-04 16:22:00,1,0,27123,2008,5
The Wordsmith,2010-02-22 18:05:00,1,0,6891,2005,40
TheCatalyst31,2010-10-24 22:44:00,1,0,65280,2007,5075
Theleftorium,2010-06-20 09:10:00,1,0,36854,2008,225
Thumperward,2010-07-18 13:37:00,1,0,111772,2005,669
Tim Song,2010-03-04 20:30:00,1,0,0,2010,0
Vejvančický,2010-10-09 19:18:00,1,0,34299,2008,412
VernoWhitney,2010-11-05 12:50:00,1,0,43712,2009,70
Waldir,2010-05-24 12:45:00,1,0,17680,2005,841
Wifione,2010-09-08 17:43:00,1,0,16760,2009,296
WOSlinker,2010-08-18 21:57:00,1,0,362425,2006,107
07bargem,2010-09-29 19:42:00,0,0,1530,2009,46
1234r00t,2010-05-20 00:06:00,0,0,4339,2010,9
28bytes,2010-12-01 18:35:00,0,0,27180,2006,94
Access Denied,2010-11-10 05:08:00,0,0,8709,2010,67
Addihockey10,2010-05-31 06:15:00,0,0,13441,2008,2
Adyniz,2010-02-08 01:55:00,0,0,1162,2008,1
Aiken drum,2010-10-24 14:08:00,0,0,8190,2009,29
Airplaneman,2010-03-06 23:37:00,0,0,39711,2008,115
Alan16,2010-01-03 05:19:00,0,0,4417,2008,32
Alansohn,2010-10-24 15:19:00,0,0,413008,2005,3247
alexsautographs,2010-01-15 04:40:00,0,0,15606,2005,717
Alexsautographs,2010-01-15 20:22:00,0,0,15606,2005,717
Ankitbhatt,2010-04-06 12:32:00,0,0,10659,2009,32
ArcAngel,2010-07-08 23:35:00,0,0,16204,2006,37
barts1a,2010-09-29 13:08:00,0,0,4721,2006,0
BigDom,2010-03-16 21:43:00,0,0,20633,2006,1466
Blanchardb,2010-04-14 23:19:00,0,0,87666,2007,317
Bobby122,2010-09-23 03:19:00,0,0,4010,2009,5
BuickCenturyDriver,2010-11-09 03:44:00,0,0,11286,2007,136
Cgoodwin,2010-08-01 08:11:00,0,0,18681,2006,86
Checker Fred,2010-06-25 22:02:00,0,0,1389,2009,6
Cliffmore,2010-10-10 23:56:00,0,0,158,2010,1
Connormah,2010-02-03 00:56:00,0,0,86099,2006,23
Crotalus horridus,2010-03-22 17:07:00,0,0,7848,2005,242
Curtis23,2010-01-01 21:37:00,0,0,3626,2009,11
Danielspencer91, 2015-11-30 20:51:05,0,0,846, 2007,32
Darth Stabro,2010-12-07 18:46:00,0,0,1766,2009,17
ddbruce,2010-07-22 03:36:00,0,0,252,2006,1
DeltaQuad,2010-08-02 23:04:00,0,0,27515,2007,63
Dusti,2010-03-29 22:43:00,0,0,20997,2007,16
Dylandlima,2010-08-08 03:31:00,0,0,548,2009,5
Ecw.technoid.dweeb,2010-03-11 02:53:00,0,0,3,2013,0
Editorofthewiki,2010-08-04 03:14:00,0,0,27965,2008,3497
Endofskull,2010-11-10 00:58:00,0,0,5877,2009,71
Eridani,2010-06-29 10:50:00,0,0,1164,2006,22
Ezekiel63745,2010-10-30 23:43:00,0,0,259,2010,2
Falcon8765,2010-08-25 06:21:00,0,0,83505,2007,113
Flushing258,2010-03-24 03:57:00,0,0,122,2010,0
Frozen4322,2010-02-13 10:46:00,0,0,2592,2007,18
Ginbot86,2010-07-31 12:08:00,0,0,2314,2007,39
Gobbleswoggler,2010-02-11 19:42:00,0,0,14390,2008,2
GSorbyDesroid,2010-08-28 10:12:00,0,0,0,2010,0
Guoguo12,2010-12-24 00:28:00,0,0,11530,2008,14
Hadger,2010-06-07 22:10:00,0,0,4213,2009,23
Halgo123,2010-01-02 01:53:00,0,0,75,2009,2
Halil marx07,2010-10-27 17:56:00,0,0,2380,2010,14
Herostratus,2010-06-23 15:31:00,0,0,34147,2005,198
Immunize,2010-04-16 20:18:00,0,0,18431,2010,60
Ipfreely555,2010-05-30 06:21:00,0,0,3,2011,0
Ironholds,2010-01-01 04:12:00,0,0,79389,2008,736
JahaalChakravarti,2010-08-29 00:04:00,0,0,143,2010,0
Jc3s5h,2010-08-12 16:00:00,0,0,17595,2009,8
Jeffrey Mall,2010-06-06 14:21:00,0,0,16035,2008,51
Jempcorp,2010-06-14 15:33:00,0,0,349,2007,0
Jerem43,2010-12-02 23:50:00,0,0,53088,2006,243
Jmcw37,2010-02-10 20:37:00,0,0,9133,2006,15
Joe Chill,2010-01-17 22:06:00,0,0,0,2011,0
Joe Gazz84,2010-09-19 18:00:00,0,0,3413,2010,17
KhamaPula,2010-05-31 22:07:00,0,0,35,2010,1
Kingoomieiii,2010-02-20 07:34:00,0,0,5460,2006,4
Kirkoconnell,2010-03-05 03:13:00,0,0,1265,2006,3
Laptopmaker,2010-12-10 18:38:00,0,0,37,2010,0
Ling.Nut,2010-10-27 02:50:00,0,0,34803,2006,256
Louis Taylor,2010-04-04 00:06:00,0,0,883,2009,0
Madhero88,2010-02-07 19:38:00,0,0,25169,2007,203
Madokhn,2010-03-05 00:14:00,0,0,36,2007,0
Marcus Aurelius Antoninus,2010-03-20 20:01:00,0,0,1,2010,0
Marcus Qwertyus,2010-07-19 22:01:00,0,0,0,2014,0
matt319,2010-03-07 03:27:00,0,0,552,2009,0
MC10,2010-01-12 03:06:00,0,0,26509,2006,69
Merle Lang,2015-11-30 20:51:05,0,0,456,2010,8
Mikael Häggström,2010-05-23 08:12:00,0,0,43384,2006,4928
Minimac,2010-09-11 11:22:00,0,0,25238,2009,43
MWOAP,2010-01-04 02:55:00,0,0,1,2010,0
Mysdaao,2010-03-11 22:52:00,0,0,23260,2004,312
NastalgicCam,2010-03-21 06:54:00,0,0,1230,2007,4
Nations United,2010-10-03 04:36:00,0,0,977,2010,0
Navy blue84,2010-11-14 17:12:00,0,0,3910,2008,11
Nosleep,2010-01-21 01:15:00,0,0,0,2010,0
Osarius,2010-02-20 22:49:00,0,0,8867,2008,26
Otherlleft,2010-02-01 09:23:00,0,0,0,2010,0
Panyd,2010-01-15 12:44:00,0,0,15020,2007,3
Pepperpiggle,2010-03-14 14:50:00,0,0,0,2010,0
