@relation Data/10_clean

@attribute votes numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful numeric
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
14 , 0 , 0 , 15 , 1 , 2089 , 0 , 1877 , 28 , 195 , 1584 , 0 , 0 , 536 , 7 , 0 , 158 , 0 , 0 , 12 , 81 , 0 , 0 , 27 , 284 , 15 , 4874
0 , 0 , 0 , 0 , 0 , 31 , 0 , 37 , 5 , 4 , 40 , 0 , 0 , 21 , 0 , 0 , 1 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 19 , 0 , 126
0 , 0 , 0 , 0 , 0 , 44 , 0 , 453 , 0 , 44 , 164 , 0 , 0 , 16 , 0 , 0 , 6 , 0 , 0 , 0 , 4 , 0 , 0 , 1 , 20 , 0 , 293
1 , 0 , 0 , 0 , 8 , 1677 , 0 , 904 , 374 , 1954 , 12156 , 0 , 0 , 673 , 8 , 0 , 144 , 0 , 0 , 29 , 85 , 0 , 0 , 92 , 613 , 7 , 17676
0 , 1 , 0 , 11 , 17 , 7705 , 0 , 1902 , 272 , 7546 , 34913 , 0 , 0 , 4641 , 160 , 0 , 2067 , 0 , 0 , 1201 , 1622 , 0 , 0 , 1092 , 1537 , 468 , 61186
0 , 0 , 0 , 0 , 5448 , 684 , 0 , 1894 , 7 , 41516 , 955 , 0 , 0 , 951 , 597 , 0 , 10 , 0 , 0 , 429 , 179 , 0 , 0 , 1116 , 57 , 1015 , 52954
30 , 0 , 0 , 0 , 0 , 606 , 0 , 532 , 1 , 259 , 1669 , 0 , 0 , 902 , 0 , 0 , 55 , 0 , 0 , 0 , 207 , 0 , 0 , 443 , 124 , 63 , 4274
11 , 0 , 0 , 0 , 1 , 6748 , 0 , 1639 , 17 , 226 , 6077 , 0 , 0 , 1508 , 0 , 0 , 22 , 0 , 0 , 2 , 22 , 0 , 0 , 64 , 1732 , 2 , 16399
17 , 0 , 0 , 8 , 11 , 1251 , 0 , 1473 , 62 , 873 , 3116 , 0 , 0 , 727 , 37 , 0 , 262 , 0 , 0 , 31 , 519 , 0 , 0 , 284 , 252 , 119 , 7290
0 , 0 , 0 , 0 , 0 , 9 , 0 , 39 , 0 , 0 , 10 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 29
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
251 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3
78 , 0 , 0 , 0 , 0 , 5850 , 0 , 1114 , 83 , 390 , 5548 , 0 , 0 , 1466 , 1 , 0 , 11 , 0 , 0 , 0 , 221 , 0 , 0 , 207 , 2592 , 21 , 16379
44 , 0 , 0 , 2 , 82 , 8664 , 0 , 2865 , 20 , 9101 , 22645 , 0 , 0 , 5634 , 2 , 0 , 938 , 0 , 0 , 114 , 142 , 0 , 0 , 1229 , 848 , 80 , 48563
11 , 0 , 0 , 0 , 0 , 167 , 0 , 706 , 0 , 3 , 12 , 0 , 0 , 130 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 24 , 24 , 7 , 367
6 , 0 , 0 , 0 , 0 , 0 , 0 , 850 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0 , 0 , 0 , 18 , 3 , 6766 , 0 , 518 , 404 , 4251 , 54113 , 0 , 0 , 13737 , 24 , 0 , 327 , 0 , 0 , 20 , 652 , 0 , 0 , 1095 , 851 , 193 , 82127
0 , 0 , 0 , 0 , 0 , 1842 , 0 , 510 , 3 , 1226 , 1238 , 0 , 0 , 913 , 0 , 0 , 88 , 0 , 0 , 0 , 105 , 0 , 0 , 622 , 335 , 7 , 6291
0 , 0 , 0 , 0 , 0 , 16 , 0 , 706 , 1 , 12 , 144 , 0 , 0 , 8 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 42 , 0 , 224
24 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
26 , 0 , 0 , 0 , 0 , 1956 , 0 , 474 , 26 , 735 , 6663 , 0 , 0 , 1065 , 2 , 0 , 66 , 0 , 0 , 4 , 2029 , 0 , 0 , 337 , 541 , 102 , 13460
0 , 0 , 0 , 0 , 2 , 347 , 0 , 1224 , 3 , 310 , 1445 , 0 , 0 , 469 , 0 , 0 , 539 , 0 , 0 , 26 , 169 , 0 , 0 , 96 , 34 , 9 , 2910
18 , 0 , 0 , 0 , 0 , 5057 , 0 , 2269 , 15 , 130 , 9273 , 0 , 0 , 918 , 0 , 0 , 56 , 0 , 0 , 7 , 20 , 0 , 0 , 41 , 299 , 0 , 15760
0 , 0 , 0 , 0 , 0 , 240 , 0 , 180 , 188 , 31 , 1904 , 0 , 0 , 36 , 6 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1549 , 0 , 3954
23 , 0 , 0 , 2 , 1 , 2132 , 0 , 811 , 63 , 626 , 9651 , 0 , 0 , 1798 , 2 , 0 , 559 , 0 , 0 , 17 , 555 , 0 , 0 , 147 , 1745 , 59 , 16798
0 , 0 , 0 , 0 , 0 , 41 , 0 , 1453 , 3 , 4 , 45 , 0 , 0 , 11 , 0 , 0 , 24 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 1 , 108
31 , 0 , 0 , 1 , 2 , 2317 , 0 , 494 , 8 , 485 , 3132 , 0 , 0 , 986 , 1 , 0 , 104 , 0 , 0 , 34 , 75 , 0 , 0 , 349 , 539 , 40 , 7969
