@relation ../Data/13_accounts

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
7 , 42 , 0 , 0 , 0 , 0 , 489 , 0 , 954 , 0 , 164 , 999 , 0 , 19 , 0 , 825 , 0 , 0 , 20 , 1 , 1 , 2 , 42 , 0 , 18 , 69 , 106 , 4 , 2700
20 , 50 , 0 , 0 , 0 , 27 , 1263 , 0 , 774 , 34 , 2074 , 12659 , 6 , 11 , 0 , 1236 , 7 , 0 , 934 , 1 , 4 , 90 , 2080 , 0 , 1 , 174 , 59 , 61 , 19764
48 , 118 , 0 , 0 , 6 , 14 , 1885 , 0 , 2931 , 21 , 1084 , 5135 , 2 , 19 , 0 , 3659 , 0 , 0 , 600 , 1 , 9 , 19 , 127 , 0 , 8 , 183 , 873 , 24 , 13030
16 , 41 , 0 , 0 , 0 , 0 , 5922 , 0 , 364 , 26 , 664 , 15373 , 0 , 1 , 0 , 1474 , 0 , 0 , 61 , 1 , 0 , 2 , 56 , 0 , 1 , 46 , 145 , 5 , 23713
7 , 630 , 0 , 0 , 0 , 0 , 2214 , 0 , 1577 , 4 , 128 , 2415 , 1 , 38 , 0 , 267 , 0 , 2 , 147 , 1 , 14 , 8 , 12 , 0 , 21 , 16 , 17 , 2 , 5083
58 , 31 , 0 , 1 , 0 , 4 , 7570 , 0 , 2070 , 40 , 1461 , 7742 , 3 , 67 , 0 , 3286 , 1 , 3 , 124 , 1 , 21 , 51 , 224 , 0 , 39 , 721 , 1137 , 79 , 22316
16 , 65 , 0 , 0 , 0 , 1 , 3975 , 1 , 1865 , 6 , 1132 , 4033 , 2 , 63 , 1 , 1917 , 1 , 5 , 288 , 1 , 9 , 5 , 770 , 0 , 45 , 493 , 719 , 46 , 13098
8 , 4 , 0 , 0 , 0 , 0 , 445 , 0 , 1834 , 4 , 102 , 444 , 1 , 8 , 0 , 1025 , 14 , 1 , 87 , 1 , 1 , 0 , 25 , 0 , 5 , 161 , 122 , 2 , 2344
2 , 10 , 0 , 1 , 2 , 0 , 1029 , 0 , 1435 , 0 , 1709 , 10772 , 6 , 181 , 0 , 736 , 0 , 6 , 41 , 1 , 46 , 0 , 147 , 3 , 119 , 245 , 214 , 42 , 14896
0 , 1 , 0 , 0 , 0 , 19 , 929 , 0 , 2925 , 0 , 5066 , 13321 , 1 , 21 , 0 , 822 , 0 , 2 , 342 , 1 , 5 , 369 , 63 , 0 , 13 , 11 , 532 , 14 , 21146
2 , 34 , 0 , 0 , 1 , 0 , 3222 , 0 , 387 , 0 , 261 , 947 , 1 , 55 , 0 , 877 , 0 , 0 , 15 , 1 , 1 , 0 , 11 , 3 , 50 , 279 , 1772 , 11 , 7381
0 , 89 , 0 , 1 , 0 , 0 , 327 , 0 , 1370 , 1 , 110 , 2901 , 3 , 175 , 0 , 204 , 0 , 3 , 272 , 1 , 113 , 3 , 171 , 1 , 54 , 98 , 80 , 96 , 3991
6 , 31 , 0 , 0 , 0 , 0 , 4731 , 1 , 1072 , 6 , 315 , 4085 , 1 , 70 , 0 , 1152 , 0 , 2 , 106 , 1 , 12 , 4 , 34 , 1 , 53 , 42 , 132 , 8 , 10509
12 , 198 , 0 , 1 , 0 , 0 , 1683 , 0 , 2540 , 16 , 822 , 28433 , 2 , 138 , 0 , 1654 , 0 , 2 , 1318 , 1 , 113 , 40 , 184 , 0 , 20 , 339 , 167 , 14 , 33352
0 , 29 , 0 , 0 , 0 , 0 , 12 , 0 , 242 , 0 , 20 , 302 , 0 , 0 , 0 , 10 , 0 , 0 , 81 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 56 , 0 , 404
6 , 48 , 0 , 2 , 0 , 2 , 4343 , 0 , 381 , 15 , 1152 , 8583 , 4 , 166 , 0 , 1079 , 0 , 4 , 54 , 0 , 42 , 57 , 147 , 1 , 113 , 88 , 865 , 18 , 16349
2 , 83 , 0 , 0 , 0 , 1 , 591 , 0 , 1647 , 0 , 1163 , 2716 , 0 , 4 , 0 , 716 , 0 , 0 , 194 , 0 , 3 , 10 , 116 , 0 , 1 , 586 , 112 , 20 , 6031
16 , 20 , 0 , 0 , 0 , 23 , 1778 , 1 , 175 , 1 , 472 , 9126 , 2 , 50 , 0 , 506 , 0 , 0 , 24 , 0 , 14 , 6 , 100 , 0 , 33 , 291 , 200 , 10 , 12513
6 , 691 , 0 , 0 , 0 , 118 , 3578 , 0 , 2111 , 19 , 2215 , 18819 , 0 , 14 , 0 , 811 , 455 , 0 , 2299 , 0 , 2 , 3060 , 914 , 0 , 12 , 103 , 409 , 991 , 31492
0 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 620 , 0 , 0 , 22 , 0 , 0 , 0 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 24
0 , 1 , 0 , 0 , 0 , 0 , 8 , 0 , 1263 , 0 , 2 , 16 , 0 , 0 , 0 , 20 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 50
0 , 31 , 0 , 0 , 0 , 0 , 4392 , 0 , 380 , 23 , 116 , 3231 , 0 , 30 , 0 , 961 , 0 , 0 , 10 , 0 , 2 , 4 , 48 , 0 , 28 , 11 , 428 , 1 , 9215
0 , 1 , 0 , 0 , 0 , 0 , 25 , 0 , 1618 , 1 , 81 , 1135 , 0 , 0 , 0 , 7 , 0 , 0 , 399 , 0 , 0 , 0 , 92 , 0 , 0 , 0 , 13 , 0 , 1354
0 , 6 , 0 , 0 , 0 , 0 , 51 , 0 , 894 , 0 , 13 , 80 , 0 , 0 , 0 , 48 , 0 , 0 , 6 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 55 , 0 , 249
3 , 18 , 0 , 1 , 0 , 0 , 3519 , 0 , 543 , 4 , 1691 , 3384 , 2 , 107 , 0 , 1646 , 0 , 1 , 93 , 0 , 23 , 11 , 60 , 0 , 80 , 95 , 198 , 29 , 10637
8 , 37 , 0 , 1 , 0 , 1 , 693 , 0 , 277 , 26 , 106 , 717 , 0 , 35 , 0 , 482 , 1 , 0 , 45 , 0 , 9 , 4 , 27 , 2 , 23 , 44 , 324 , 15 , 2440
0 , 10 , 0 , 0 , 0 , 0 , 130 , 0 , 237 , 0 , 63 , 90 , 0 , 0 , 0 , 44 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 327
0 , 3 , 0 , 0 , 0 , 1 , 101 , 0 , 2335 , 28 , 335 , 10953 , 0 , 0 , 0 , 121 , 1 , 0 , 26 , 0 , 0 , 0 , 42 , 0 , 0 , 0 , 205 , 14 , 11801
1 , 2 , 0 , 0 , 0 , 0 , 9 , 0 , 2555 , 25 , 51 , 1941 , 5 , 77 , 0 , 35 , 0 , 8 , 337 , 0 , 41 , 6 , 33 , 0 , 23 , 1 , 28 , 0 , 2129
