@relation ../Data/13/2006

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
0 , 5 , 0 , 0 , 0 , 0 , 1761 , 0 , 1038 , 0 , 95 , 1281 , 2 , 135 , 0 , 968 , 0 , 0 , 2 , 1 , 8 , 9 , 57 , 0 , 125 , 41 , 303 , 4 , 4519
8 , 4 , 0 , 1 , 0 , 45 , 490 , 0 , 225 , 43 , 1365 , 4180 , 4 , 108 , 3 , 832 , 1 , 8 , 478 , 1 , 58 , 91 , 149 , 1 , 33 , 407 , 74 , 17 , 7694
34 , 5 , 0 , 1 , 0 , 1 , 1717 , 0 , 224 , 4 , 261 , 3280 , 0 , 34 , 0 , 774 , 0 , 0 , 65 , 1 , 7 , 15 , 25 , 1 , 25 , 29 , 206 , 0 , 6312
21 , 1 , 0 , 0 , 0 , 0 , 839 , 0 , 789 , 10 , 104 , 2952 , 2 , 96 , 0 , 276 , 0 , 2 , 16 , 1 , 14 , 7 , 9 , 1 , 77 , 9 , 69 , 0 , 4275
12 , 1 , 0 , 2 , 0 , 0 , 160 , 1 , 270 , 0 , 33 , 247 , 0 , 22 , 0 , 151 , 0 , 1 , 27 , 1 , 12 , 1 , 8 , 0 , 6 , 9 , 131 , 2 , 742
3 , 1 , 0 , 1 , 0 , 0 , 525 , 0 , 754 , 11 , 74 , 1799 , 2 , 139 , 1 , 447 , 0 , 6 , 112 , 1 , 17 , 2 , 9 , 7 , 105 , 6 , 80 , 16 , 2969
9 , 5 , 0 , 0 , 0 , 1 , 304 , 0 , 574 , 3 , 626 , 5907 , 0 , 16 , 0 , 97 , 0 , 0 , 1998 , 1 , 10 , 15 , 17 , 0 , 6 , 72 , 114 , 8 , 7164
46 , 5 , 0 , 1 , 0 , 0 , 228 , 2 , 183 , 0 , 212 , 1201 , 4 , 119 , 0 , 821 , 0 , 7 , 136 , 1 , 20 , 3 , 9 , 0 , 85 , 37 , 68 , 10 , 2589
0 , 1 , 0 , 0 , 0 , 1 , 381 , 0 , 320 , 7 , 268 , 4839 , 0 , 196 , 0 , 335 , 0 , 4 , 45 , 1 , 6 , 2 , 0 , 3 , 183 , 12 , 65 , 0 , 5910
2 , 4 , 0 , 0 , 0 , 0 , 202 , 0 , 285 , 6 , 132 , 1196 , 5 , 160 , 0 , 387 , 0 , 21 , 22 , 1 , 6 , 2 , 56 , 0 , 128 , 78 , 23 , 18 , 2100
2 , 12 , 0 , 1 , 0 , 0 , 157 , 0 , 998 , 12 , 290 , 5036 , 0 , 87 , 0 , 439 , 5 , 9 , 1605 , 1 , 63 , 10 , 57 , 0 , 14 , 42 , 1250 , 36 , 7334
2 , 1 , 0 , 1 , 0 , 0 , 381 , 0 , 99 , 3 , 195 , 1842 , 4 , 132 , 1 , 305 , 0 , 16 , 65 , 1 , 40 , 0 , 6 , 8 , 62 , 14 , 55 , 2 , 2803
28 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 33 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
165 , 1 , 0 , 0 , 0 , 0 , 1336 , 1 , 234 , 17 , 856 , 998 , 1 , 76 , 0 , 703 , 2 , 1 , 86 , 1 , 9 , 32 , 45 , 10 , 54 , 41 , 155 , 13 , 4198
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
