@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14-17,21-26,29-30,32-34,36-41'

@attribute sp_keep_votes numeric
@attribute userfy_votes numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute isSuccessful {1,0}
@attribute keep_votes numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric

@data
0,0,2,28,0,1,0,0,26
0,0,2,51,0,1,12,0,36
0,0,1,37,0,1,10,0,25
0,0,1,15,0,1,1,0,12
0,0,2,59,0,1,9,0,41
0,0,0,0,0,1,0,0,0
1,0,0,28,0,1,13,1,12
0,0,0,2,0,1,0,0,2
0,0,1,183,0,1,24,1,156
0,0,0,11,0,1,5,0,4
0,0,0,0,0,1,0,0,0
0,0,0,9,0,1,7,0,2
3,0,3,117,0,1,11,1,99
2,0,3,40,0,1,14,0,19
0,0,0,34,0,1,7,0,27
0,0,1,18,0,1,10,0,7
0,0,0,9,0,1,2,0,6
6,0,2,68,0,1,13,1,43
0,0,1,44,0,1,10,0,27
1,0,3,124,0,1,29,0,88
3,0,3,76,0,1,38,0,30
0,0,1,30,0,1,2,0,26
5,0,9,116,0,1,40,0,57
0,0,0,29,0,1,10,0,19
0,0,1,74,0,1,18,3,49
0,0,18,127,0,1,17,0,84
4,0,0,16,0,1,9,0,3
0,0,1,37,0,1,0,0,36
1,0,1,144,0,1,16,0,120
0,0,0,7,0,1,0,0,7
1,0,5,157,0,1,22,3,121
3,0,0,49,0,1,3,0,41
0,0,1,17,0,1,8,0,8
0,0,6,146,1,1,35,0,96
0,0,0,0,0,1,0,0,0
2,0,2,157,0,1,51,2,91
0,0,0,105,0,1,19,8,75
1,0,4,183,2,1,43,2,115
1,0,0,18,0,1,3,0,11
1,0,0,23,0,1,1,0,21
0,0,3,191,0,1,7,1,168
0,0,0,0,0,1,0,0,0
0,0,0,32,0,1,0,0,32
0,0,51,166,0,1,8,1,60
1,0,11,122,0,1,19,2,86
0,0,1,56,0,1,4,2,48
0,0,13,170,1,1,29,1,102
0,0,0,79,0,1,18,0,60
0,0,0,56,0,1,9,0,44
3,0,2,131,0,1,32,3,90
1,0,3,66,0,1,19,0,34
0,0,0,41,0,1,30,0,11
0,0,0,0,0,1,0,0,0
0,0,0,5,0,1,1,0,3
1,0,5,77,0,1,22,5,39
0,0,2,78,0,1,8,1,64
0,0,0,18,0,1,1,0,17
1,0,1,58,0,1,12,0,41
0,0,2,88,0,1,17,1,67
0,0,12,162,0,1,36,0,90
0,0,0,7,0,1,0,0,7
0,0,0,4,0,1,0,0,4
0,1,4,90,0,1,11,3,71
0,0,0,77,0,1,28,3,44
0,3,5,102,0,1,18,0,66
0,0,10,128,0,1,41,4,71
0,1,1,29,0,1,0,0,24
0,0,0,117,0,1,4,0,112
1,0,9,187,0,1,78,3,88
0,0,1,32,0,1,13,0,16
0,0,0,40,0,1,0,0,40
0,0,0,0,0,1,0,0,0
0,0,4,141,0,1,30,3,96
1,0,2,11,0,1,5,0,1
1,0,10,149,3,1,24,0,95
0,0,6,187,0,1,30,17,127
0,0,0,4,0,1,0,0,4
