@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R2-11,13-26,28-32,34-40'

@attribute revert_edits numeric
@attribute minor_edits numeric
@attribute isSuccessful {1,0}
@attribute nonminor_edits numeric
@attribute large_edits numeric

@data
366,898,0,5850,1710
87,18,0,793,76
17,78,0,630,118
3,163,0,826,248
6,16,0,74,8
77,3299,0,2204,698
61,1484,0,5381,2216
10,17,0,455,38
0,0,0,0,0
106,2166,0,15961,4723
636,1294,0,2868,1277
4,19,0,749,31
12,0,0,143,39
3502,36853,0,15649,8043
3,8,0,23,8
56,469,0,865,416
94,406,0,1143,140
5,7,0,1645,5
0,0,0,0,0
0,1678,0,2,0
64,134,0,3033,388
0,0,0,23,4
0,25,0,550,56
99,2540,0,12015,3863
1005,3623,0,6180,3107
0,0,0,0,0
7,0,0,67,13
378,1156,0,3922,1181
322,5952,0,8813,5428
0,1,0,151,2
1857,6145,0,28434,3714
287,146,0,2224,214
0,0,0,0,0
28,202,0,1183,248
3,1,0,22,2
280,421,0,3723,670
183,113,0,938,235
2,0,0,26,3
416,9861,0,19855,3337
2,4,0,359,2
329,2621,0,7571,2482
0,1,0,5,1
0,0,0,0,0
0,0,0,0,0
5,0,0,219,3
105,1776,0,2194,466
2,182,0,254,97
200,3415,0,2572,1938
0,0,0,0,0
1149,10525,0,8467,2966
0,267,0,17,2
29,20,0,272,23
235,407,0,2584,718
0,0,0,0,0
0,0,0,0,0
1149,10525,0,8467,2966
0,267,0,17,2
29,20,0,272,23
235,407,0,2584,718
0,0,0,0,0
17,793,0,1413,464
0,0,0,0,0
18,526,0,2217,872
4,699,0,2378,638
6,1477,0,187,12
31,272,0,2236,205
11,242,0,1134,151
18,347,0,678,212
185,961,1,1583,175
14,496,1,1436,249
14,974,1,1073,410
114,105,1,1184,92
39,993,1,5570,568
6,618,1,890,249
2,35,1,482,148
12,220,1,332,52
3,518,1,460,63
8,6426,1,1535,169
4,7138,1,590,92
0,0,1,0,0
16,155,1,1006,163
9,226,1,1706,272
1,81,1,1943,325
0,5651,1,2276,351
2,874,1,816,131
13,7343,1,3161,546
2,371,1,1531,110
2,988,1,651,110
23,96,1,1249,347
0,265,1,515,151
12,401,1,1486,467
13,157,1,1410,485
27,292,1,1604,390
2,322,1,1066,257
32,516,1,3019,830
29,647,1,2688,912
0,261,1,721,69
0,484,1,1059,116
1,28,1,942,120
1,1532,1,447,292
3,1300,1,1341,82
14,12,1,7097,308
12,10838,1,637,158
25,4877,1,2316,550
2,231,1,529,109
6,624,1,730,83
1,1441,1,1235,337
0,382,1,438,238
32,1064,1,1937,379
10,482,1,2415,202
7,1799,1,845,107
25,430,1,952,274
13,4741,1,5692,506
3,193,1,546,118
41,122,1,2220,283
7,1856,1,544,94
1,67,1,2945,270
0,191,1,451,46
13,1501,1,5557,1104
7,620,1,3646,527
13,416,1,1834,104
24,806,1,584,152
50,660,1,1583,150
2,734,1,459,94
20,483,1,1432,366
5,428,1,2022,495
0,4218,1,1353,287
21,348,1,1018,97
39,316,1,1005,131
8,2512,1,783,207
20,153,1,4450,937
0,284,1,464,110
11,655,1,1073,221
16,172,1,529,33
16,2466,1,1304,327
133,634,1,465,37
5,725,1,4152,638
12,1567,1,2200,312
7,1407,1,747,148
6,397,1,819,62
19,505,1,2556,503
8,273,1,646,79
25,1118,1,1104,60
2,1195,1,916,241
9,3827,1,1077,359
0,7648,1,1023,249
16,526,1,815,227
12,430,1,988,189
55,213,1,1682,398
12,1549,1,920,359
1,84,0,2011,226
1,35,0,87,14
8,160,0,1034,105
654,6978,0,3920,441
4,1,0,33,14
13,5158,0,3543,514
0,980,0,9,4
9,531,0,1341,90
36,738,0,5671,409
22,1646,0,2740,621
3,676,0,979,91
24,526,0,2677,469
28,565,0,2759,137
8,33,0,968,58
64,132,0,1691,299
30,106,0,1442,19
30,45,0,4163,1094
0,110,0,233,17
10,36,0,1727,174
0,0,0,0,0
81,790,0,1861,672
195,9606,0,8199,501
528,7966,0,11896,3321
4,2490,0,272,30
0,4,0,691,60
1817,6127,0,26201,12005
86,324,0,16950,721
112,4972,0,6248,1183
232,2120,0,11645,1368
214,683,0,2582,1261
151,4914,0,6601,3777
0,1,0,9,2
0,0,0,0,0
398,1855,0,9000,1782
0,0,0,0,0
54,667,0,1598,287
40,845,0,3259,1004
43,1822,0,1413,373
0,0,0,0,0
3486,5922,0,41956,22321
16,8,0,358,56
13,44,0,502,64
1,0,0,123,11
24,315,0,2424,408
13,78,0,347,127
1,4,0,20,6
11,3,0,1299,104
175,386,0,4137,800
3,5512,1,86,2
135,619,1,3201,1238
216,6284,1,6131,2829
225,6465,1,18526,4616
8405,2253,1,23307,5581
136,4109,1,9074,3277
0,1222,1,90,17
0,0,1,0,0
72,5615,1,1415,822
0,0,1,0,0
193,3946,1,8081,3380
141,3362,1,11287,2709
683,2739,1,15833,3106
699,16098,1,42482,4375
380,3327,1,18487,3066
222,3310,1,9261,3385
1427,4030,1,11789,3454
325,526,1,5107,1605
2115,4163,1,7665,3049
253,1160,1,7712,1452
183,69536,1,53848,6457
290,4844,1,12390,1546
247,1845,1,5808,1760
264,4378,1,17420,7092
330,691,1,2741,949
228,2125,1,3510,2472
87,1826,1,5099,2213
3678,3576,1,14837,4698
257,1375,1,11035,3483
308,41401,1,5360,1334
426,5759,1,5366,1711
76,1475,1,1783,978
0,0,1,0,0
149,316,1,6632,1586
669,18097,1,19639,13621
8261,4311,1,34932,5788
79,7898,1,6711,2925
62,1619,1,1133,261
1278,692,1,9780,1840
168,1930,1,5057,2204
