@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1,3-7,9-13,15-18,20-25,28-31,33-35,37-39,41'

@attribute accounts numeric
@attribute votes numeric
@attribute days_active numeric
@attribute total_afd_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1,0}
@attribute edits_per_day numeric
@attribute images_uploaded numeric
@attribute total_edits numeric

@data
1,29,283,114,76,1,10,4,3015
2,3,568,167,149,1,2.6,24,1532
4,1,376,47,92,1,28,6,10677
11,0,435,183,149,1,6.2,0,2697
12,3,605,36,79,1,12,71,7311
1,0,347,188,623,1,25,2,8919
5,0,664,20,69,1,3,0,2047
29,7,796,84,3616,1,44,144,35555
30,0,673,1,174,1,29,14,20120
3,6,321,36,106,1,42,5,13726
10,9,164,29,46,1,32,16,5302
4,4,595,191,250,1,10,28,6520
1,1,567,17,97,1,4.3,16,2442
2,8,153,9,30,1,5.5,0,854
6,11,253,37,67,1,25,1,6380
8,2,1029,39,57,1,4.7,3,4918
3,27,558,119,31,1,2.2,17,1229
2,1,736,113,109,1,2.2,1,1681
38,10,628,40,13,1,3.1,8,1959
18,204,1474,72,124,1,3.5,3,5274
1,8,184,29,43,1,13,85,2524
30,19,923,61,32,1,7.1,3,6556
6,12,653,124,61,1,7.2,8,4726
5,6,1073,72,26,1,1.5,6,1656
8,1,1105,130,275,1,5.7,1,6403
36,0,118,0,0,1,0.6,0,80
24,0,816,189,225,1,34,14,27746
12,3,503,28,73,1,19,0,9716
5,140,376,51,65,1,2.4,0,933
1,17,831,37,29,1,2.1,1,1783
2,54,814,15,36,1,3.8,14,3127
11,2,425,59,57,1,10,10,4642
1,8,934,0,133,1,6,2,5644
6,28,180,28,1,1,9,0,1621
2,0,1061,2,27,1,2.1,690,2247
2,0,824,183,1080,1,11,7,9720
3,10,785,11,116,1,19,51,14971
15,42,0,0,0,1,0,0,0
2,2,760,9,26,1,6.6,15,5050
1,1,241,117,43,1,3.6,2,876
2,4,671,40,81,1,8.4,4,5656
9,19,407,34,73,1,3.6,6,1499
6,22,574,18,17,1,2.1,5,1254
6,0,259,9,34,1,13,4,3569
5,0,567,68,134,1,7.9,9,4514
5,0,1038,44,885,1,28,39,29140
24,0,827,124,41,1,11,1,9456
5,5,845,76,241,1,6.8,18,5812
6,2,882,30,215,1,6.3,11,5605
4,0,915,116,192,1,1.7,0,1594
10,6,1087,29,247,1,3.4,0,3707
7,0,538,74,52,1,7.8,0,4233
17,43,182,127,28,1,47,6,8731
3,11,549,16,5,1,2.3,0,1312
7,0,442,37,61,1,8.4,171,3743
5,8,863,144,2,1,5.3,1,4577
3,0,168,7,34,1,12,4,2155
2,19,166,157,31,1,11,28,1899
3,9,865,49,161,1,1.1,2,996
44,0,977,17,31,1,8.6,0,8478
2,3,1258,146,327,1,3.3,0,4221
1,9,532,0,0,1,0,0,0
8,4,1547,157,87,1,1.9,15,2950
2,62,311,105,13,1,28,1,8913
6,10,1039,183,868,1,3.8,2,4042
46,2,754,18,5,1,5.3,15,4052
3,27,656,23,185,1,4.4,11,2899
3,9,771,191,32,1,1.1,28,913
3,3,93,0,0,1,0,0,0
3,2,342,32,37,1,3,1,1034
51,14,693,166,355,1,31,14,21487
1,54,542,122,2,1,8,1,4362
2,0,740,56,137,1,3.4,0,2559
4,21,1042,170,436,1,18,57,19169
1,7,767,79,36,1,6.5,3,4992
