username,date_of_election,isSuccessful,votes,edit_count,year_joined
Ferkelparade,2015-11-30 20:51:10.997499,1,0,9600,2004
Ffirehorse,2015-11-30 20:51:10.997998,1,0,1747,2004
Francs2000,2015-11-30 20:51:10.999708,1,0,39062,2003
Frazzydee,2015-11-30 20:51:11.000674,1,0,8071,2003
Gamaliel,2015-11-30 20:51:11.003671,1,0,71603,2004
GeneralPatton,2015-11-30 20:51:11.004731,1,0,5223,2004
Golbez,2015-11-30 20:51:11.009925,1,0,57522,2004
Guanaco,2015-11-30 20:51:11.013064,1,0,16934,2004
Hadal,2015-11-30 20:51:11.014318,1,0,29595,2003
Hcheney,2015-11-30 20:51:11.016029,1,0,3439,2003
Hemanshu,2015-11-30 20:51:11.016836,1,0,18770,2003
Hyacinth,2015-11-30 20:51:11.017168,1,0,133976,2003
Ike9898,2015-11-30 20:51:11.019164,1,0,10967,2003
Imran,2015-11-30 20:51:11.019349,1,0,3486,2002
Jay,2015-11-30 20:51:11.021287,1,0,6761,2003
Jengod,2015-11-30 20:51:11.023649,1,0,47734,2003
Jeronimo,2015-11-30 20:51:11.024250,1,0,8556,2002
Jfdwolff,2015-11-30 20:51:11.025358,1,0,77907,2004
Kim Bruning,2015-11-30 20:51:11.032420,1,0,20853,2003
Lexor,2015-11-30 20:51:11.033978,1,0,12793,2003
Lowellian,2004-05-17 23:20:00,1,0,38796,2002
Ludraman,2004-10-21 11:29:00,1,0,2576,2003
Lupo,2004-07-26 00:59:00,1,0,22875,2003
MacGyverMagic,2004-11-24 10:39:00,1,0,44753,2003
Mackensen,2004-09-23 00:47:00,1,0,53152,2003
Mackeriv,2004-12-18 06:06:00,1,0,2668,2003
Malcolm Farmer,2004-12-01 15:42:00,1,0,5747,2001
Mark,2004-07-05 08:12:00,1,0,10059,2001
Mark Richards,2015-11-30 20:51:11.040383,1,0,4610,2004
Matt Crypto,2004-09-30 16:39:00,1,0,23089,2004
Maury Markowitz,2004-11-15 14:49:00,1,0,42523,2002
Maximus Rex,2003-12-22 02:20:00,1,0,21625,2003
Meelar,2015-11-30 20:51:11.042996,1,0,27201,2003
Merovingian,2015-11-30 20:51:11.043099,1,0,53858,2003
Mic,2004-03-17 23:06:00,1,0,17739,2002
Michael Snow,2015-11-30 20:51:11.043873,1,0,18472,2003
Mikkalai,2015-11-30 20:51:11.044761,1,0,5,2009
Mkmcconn,2015-11-30 20:51:11.045746,1,0,10884,2002
Moink,2015-11-30 20:51:11.046751,1,0,5424,2003
Mustafaa,2015-11-30 20:51:11.049367,1,0,14180,2004
MykReeve,2015-11-30 20:51:11.050915,1,0,2028,2003
Nichalp,2015-11-30 20:51:11.054101,1,0,28407,2004
Niteowlneils,2015-11-30 20:51:11.054504,1,0,25409,2004
Nohat,2015-11-30 20:51:11.055526,1,0,10866,2003
Pfortuny,2015-11-30 20:51:11.061699,1,0,1764,2003
Pollinator,2015-11-30 20:51:11.062955,1,0,14256,2003
Quadell,2015-11-30 20:51:11.065076,1,0,107290,2003
Rbrwr,2015-11-30 20:51:11.067139,1,0,9669,2002
Rdsmith4,2015-11-30 20:51:11.067521,1,0,23764,2004
Rfl,2015-11-30 20:51:11.068815,1,0,4781,2004
Rlandmann,2015-11-30 20:51:11.070771,1,0,50824,2003
Sarge Baldy,2015-11-30 20:51:11.076463,1,0,2,2008
SD6-Agent,2015-11-30 20:51:11.076510,1,0,9602,2003
Seglea,2015-11-30 20:51:11.077234,1,0,10569,2003
Sj,2015-11-30 20:51:11.081116,1,0,19515,2004
Spencer195,2015-11-30 20:51:11.086650,1,0,4043,2004
Ssd,2015-11-30 20:51:11.086950,1,0,5481,2004
Stevenj,2015-11-30 20:51:11.087609,1,0,14636,2003
Stewartadcock,2015-11-30 20:51:11.088169,1,0,5986,2003
Stormie,2015-11-30 20:51:11.088325,1,0,15604,2003
SWAdair,2015-11-30 20:51:11.090645,1,0,8626,2004
Taxman,2015-11-30 20:51:11.092029,1,0,14708,2003
Texture,2015-11-30 20:51:11.092880,1,0,19623,2003
TheCustomOfLife,2015-11-30 20:51:11.093553,1,0,17352,2004
Tillwe,2015-11-30 20:51:11.096637,1,0,2919,2002
UninvitedCompany,2015-11-30 20:51:11.100081,1,0,8411,2003
Urhixidur,2015-11-30 20:51:11.100765,1,0,39964,2004
Visorstuff,2015-11-30 20:51:11.104659,1,0,5735,2003
Warofdreams,2015-11-30 20:51:11.105963,1,0,81164,2003
Wesley,2015-11-30 20:51:11.107060,1,0,7326,2001
Ww,2015-11-30 20:51:11.108907,1,0,9812,2003
XJamRastafire,2015-11-30 20:51:11.109507,1,0,0,2013
Yacht,2015-11-30 20:51:11.109976,1,0,2894,2003
BRG,2015-11-30 20:51:11.115786,0,0,24549,2003
DCEdwards1966,2015-11-30 20:51:11.119881,0,0,15428,2004
EdwinHJ,2015-11-30 20:51:11.121196,0,0,4958,2003
Eequor,2015-11-30 20:51:11.121589,0,0,15921,2004
Indrian,2015-11-30 20:51:11.126768,0,0,10768,2004
Marine 69-71,2015-11-30 20:51:11.134941,0,0,64363,2004
Maurreen,2015-11-30 20:51:11.136142,0,0,22358,2004
Nathanlarson32767,2015-11-30 20:51:11.136744,0,0,2140,2004
P3d0,2015-11-30 20:51:11.143181,0,0,561,2010
Pumpie,2015-11-30 20:51:11.147107,0,0,45119,2003
ScudLee,2015-11-30 20:51:11.152066,0,0,9389,2004
Skyler1534,2015-11-30 20:51:11.153534,0,0,901,2004
Andres,2015-11-30 20:51:11.159260,1,0,12259,2003
Arwel Parry,2015-11-30 20:51:11.159574,1,0,22631,2003
Chadloder,2015-11-30 20:51:11.160241,1,0,1653,2003
Christopher Mahan,2015-11-30 20:51:11.160251,1,0,4211,2002
Cyan,2015-11-30 20:51:11.160347,1,0,4042,2003
CYD,2015-11-30 20:51:11.160358,1,0,2398,2001
Delirium,2015-11-30 20:51:11.160656,1,0,49022,2003
Dori,2015-11-30 20:51:11.160829,1,0,9615,2003
Fantasy,2015-11-30 20:51:11.161418,1,0,1713,2003
Ihcoyc,2015-11-30 20:51:11.161636,1,0,29955,2003
Jdforrester,2015-11-30 20:51:11.161801,1,0,19484,2003
Jwrosenzweig,2015-11-30 20:51:11.161936,1,0,7446,2003
Llywrch,2015-11-30 20:51:11.162072,1,0,57649,2002
Mintguy,2015-11-30 20:51:11.162581,1,0,11899,2002
Nanobug,2015-11-30 20:51:11.163036,1,0,535,2003
Noel,2015-11-30 20:51:11.163129,1,0,0,2015
Olivier,2015-11-30 20:51:11.163140,1,0,95145,2002
Pakaran,2015-11-30 20:51:11.163151,1,0,9737,2003
Patrick,2015-11-30 20:51:11.163426,1,0,66937,2002
RickK,2015-11-30 20:51:11.163591,1,0,36836,2002
Schneelocke,2015-11-30 20:51:11.163640,1,0,10999,2003
Stevertigo,2015-11-30 20:51:11.164261,1,0,43174,2002
carlossuarez46,2007-07-09 22:28:00,1,0,470629,2003
