Tiptoety,2008-02-25 01:22:00,1,1,16,2995,550,90,1235,3,0,8,4,1047,25,1,0,0,0,32,male,300,10,75,1,8,5,1,0,0,100,3
TravisTX,2008-02-26 19:51:00,1,17,4,1186,194,7,474,0,0,1,0,475,7,0,0,0,0,28,male,900,10,41,0,12,1,5,0,0,69,6
Ultraexactzz,2008-01-24 22:02:00,1,48,22,1642,260,72,177,23,2,1,3,975,83,1,1,0,0,44,male,764,13,64,0,0,3,5,0,1,86,4
VanTucky,2008-04-16 19:05:00,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,89,0,0,0,0,0,0,0,0,0,2
Victuallers,2008-01-14 18:15:00,1,0,124,1366,430,86,220,1,0,37,47,87,7,2,0,0,0,449,male,445,52,69,1,1,14,2,0,0,139,10
WBOSITG,2008-05-06 19:04:00,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,47
Wehwalt,2008-12-09 23:34:00,1,1,77,15650,10681,193,517,29,1,25,10,1393,722,1,0,0,0,2078,male,1171,35,86,1,2,3,1,0,0,128,16
Werdna,2008-05-21 06:09:00,1,16,37,3278,900,111,1011,2,0,58,1,1083,72,1,0,0,0,39,male,1032,2,32,0,0,0,0,0,0,34,38
WilliamH,2008-07-30 07:29:00,1,13,45,5378,1177,58,1463,44,0,24,7,819,13,0,0,0,0,1773,male,804,15,26,13,2,2,1,0,0,59,3
Xavexgoem,2008-06-11 04:18:00,1,0,1,2696,703,272,392,0,0,8,1,701,117,0,0,1,0,501,male,280,6,7,0,0,2,0,0,0,15,25
Xenocidic,2008-05-28 00:58:00,1,12,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,235,0,0,0,0,0,0,0,0,0,1
Xymmax,2008-10-06 14:11:00,1,8,5,2853,765,71,722,1,0,4,0,1044,12,0,0,0,0,234,unknown,536,14,15,0,0,14,3,1,0,47,19
Ynhockey,2008-10-21 18:45:00,1,1,1521,22795,17248,906,1180,15,0,345,85,565,318,112,20,0,0,2001,male,1444,27,32,0,1,3,0,0,0,63,37
Zedla,2008-03-03 22:33:00,1,0,80,2038,1115,18,601,13,0,18,2,125,7,0,0,0,0,139,unknown,620,7,21,0,2,8,1,0,0,39,2
21655,2008-03-17 22:08:00,0,0,1,6191,2853,229,2558,0,0,19,0,441,17,2,0,0,0,72,unknown,959,0,25,1,0,1,2,0,0,29,2
A Cool Editor,2008-09-17 14:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,18,0,0,0,0,0,0,0,0,0,2
AaronSchell,2008-06-03 07:54:00,0,0,0,19,0,16,0,0,0,0,0,3,0,0,0,0,0,0,unknown,251,0,0,0,0,0,0,0,0,0,1
Abd,2008-02-10 04:08:00,0,0,3,943,161,15,174,0,0,0,1,150,113,0,0,1,0,328,unknown,1099,51,4,6,0,5,0,0,0,66,2
ACBest,2008-02-06 16:19:00,0,0,27,1046,247,418,260,0,0,28,3,51,2,0,0,0,0,37,unknown,440,0,1,0,0,0,0,0,0,1,2
Addshore,2008-05-13 17:11:00,0,5,4,22487,10710,642,9470,6,0,88,10,1350,48,6,1,1,0,155,unknown,890,1,1,0,0,1,0,1,0,4,14
AdirondackMan,2008-12-13 05:38:00,0,0,0,150,69,10,53,0,0,0,0,15,0,0,0,0,0,3,unknown,162,0,0,0,0,0,0,0,0,0,1
Adolphus79,2008-11-26 02:19:00,0,0,45,7927,3455,270,2037,44,1,22,35,725,131,10,2,0,0,1195,male,954,9,57,0,5,5,2,0,0,78,20
Aitias,2008-02-03 01:27:00,0,0,8,15622,7287,48,7443,1,1,20,4,480,12,11,0,0,0,315,unknown,62,1,0,0,0,0,0,0,0,1,1
Alan De Smet,2008-10-27 06:39:00,0,0,24,3490,2365,142,302,111,3,2,1,44,11,0,0,0,0,509,male,1793,5,1,0,0,0,1,0,0,7,2
AlanH,2008-01-12 15:50:00,0,0,42,68,34,5,8,2,0,0,0,7,0,0,0,0,0,12,unknown,1213,1,0,0,0,0,0,0,0,1,1
AlbertHerring,2008-03-17 01:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,469,4,0,1,1,0,0,0,0,6,0
Ali'i,2008-06-12 17:07:00,0,7,84,2314,1197,24,320,39,1,2,1,340,90,0,0,0,0,300,unknown,666,1,4,0,0,3,0,0,0,8,8
Ammar gerrard117,2008-06-06 04:54:00,0,0,4,73,25,31,9,0,0,0,0,8,0,0,0,0,0,0,unknown,9,0,1,0,0,0,0,0,0,1,1
Anon126,2008-02-20 10:19:00,0,0,4,108,3,90,4,0,0,1,0,8,0,0,0,0,0,2,unknown,63,1,5,0,0,1,0,0,0,7,1
Asenine,2008-03-01 13:18:00,0,0,24,1521,436,148,752,26,0,2,0,131,1,0,0,0,0,25,unknown,521,20,136,4,1,4,0,0,1,166,3
Autocracy,2008-03-12 22:30:00,0,3,3,1170,358,44,475,19,0,0,0,231,5,0,0,0,0,38,unknown,638,20,50,3,7,4,0,0,0,84,3
Avruch,2008-06-15 00:43:00,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,443,0,0,0,0,0,0,0,0,0,9
Basketball110,2008-05-04 12:38:00,0,22,192,10675,3055,577,4728,0,0,58,3,1027,78,10,0,0,0,1139,unknown,180,2,10,0,0,2,0,0,0,14,4
bassman91,2008-03-23 01:01:00,0,0,1,27,12,2,1,0,0,0,0,12,0,0,0,0,0,0,unknown,330,0,0,0,0,0,0,0,0,0,1
Benjah-bmm27,2008-03-05 04:51:00,0,0,133,1678,1349,30,102,1,0,4,0,35,21,15,1,0,0,120,male,1113,0,0,0,0,0,0,0,0,0,2
Bjaco18,2008-05-24 22:16:00,0,0,17,579,231,155,140,33,0,3,0,14,0,0,0,0,0,3,unknown,60,0,0,0,0,0,0,0,0,0,1
Blakegripling ph,2008-06-27 05:00:00,0,0,21,1389,797,253,171,6,0,8,0,83,32,0,0,0,0,39,male,859,3,35,0,4,4,0,0,0,46,10
Blanchardb,2008-12-03 07:19:00,0,0,161,29948,10533,200,13956,5,0,74,4,4673,102,3,0,0,0,398,unknown,449,9,167,0,7,0,5,0,0,188,35
Bluegoblin7,2008-05-13 00:41:00,0,1,13,1234,195,213,344,15,0,54,18,191,115,0,0,0,0,89,unknown,451,2,8,0,0,0,0,0,0,10,6
Blueking12,2008-05-23 01:02:00,0,0,1,115,65,19,12,0,0,4,0,13,0,0,0,0,0,2,male,422,0,0,0,0,0,0,0,0,0,1
BMWSAAB,2008-05-11 09:40:00,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,unknown,1,0,0,0,0,0,0,0,0,0,1
Borgarde,2008-09-01 17:49:00,0,0,829,23461,4628,30,219,69,224,670,1486,532,403,669,1324,0,0,13207,unknown,799,41,8,1,1,1,1,0,0,53,54
Brianreading,2008-03-01 21:26:00,0,0,20,484,391,22,18,5,0,12,0,15,1,6,0,0,0,14,male,1054,6,24,0,0,0,0,0,0,30,1
Bugalugs13,2008-08-15 13:48:00,0,0,10,112,82,5,11,0,0,4,0,5,0,0,0,0,0,5,unknown,821,0,0,0,0,0,0,0,0,0,1
Burhan Ahmed,2008-11-12 12:37:00,0,0,32,1444,690,239,410,2,0,37,2,36,1,2,0,0,0,25,male,167,0,0,0,0,0,0,0,0,0,17
Carter,2008-05-23 14:03:00,0,0,25,713,463,15,123,0,0,6,2,89,0,0,0,0,0,15,unknown,521,15,31,0,0,5,0,0,0,51,1
Cedarvale1965-08,2008-06-16 03:15:00,0,0,4,170,55,25,56,0,0,0,0,13,0,0,0,0,0,21,unknown,6,0,0,0,0,0,0,0,0,0,1
ChuckCoke,2008-08-13 05:05:00,0,0,1,140,62,5,20,0,0,0,0,7,0,0,0,0,0,46,unknown,44,0,0,0,0,0,0,0,0,0,1
CJ2005B,2008-05-01 20:17:00,0,0,1,110,72,1,24,0,0,0,5,8,0,0,0,0,0,0,unknown,1093,0,0,0,0,0,0,0,0,0,1
Clpo13,2008-03-14 07:09:00,0,0,38,1593,834,59,380,2,1,0,0,134,6,0,0,0,0,177,male,739,10,6,0,0,1,0,0,0,17,3
Cobi,2008-03-06 03:29:00,0,0,3,695,216,77,205,0,0,3,0,176,14,1,0,0,0,3,male,251,0,0,0,0,0,0,0,0,0,13
CompuHacker,2008-05-07 00:54:00,0,0,1,287,63,135,28,5,0,4,7,23,6,0,0,0,0,16,male,833,1,2,0,0,1,0,0,0,4,6
ComputerGuy890100,2008-01-12 20:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,273,0,0,0,0,0,0,0,0,0,3
Conker01,2008-07-24 18:01:00,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,unknown,246,0,0,0,0,0,0,0,0,0,1
Coppertwig,2008-05-07 02:39:00,0,21,47,5868,1253,769,1663,0,0,181,20,633,542,1,3,0,0,803,unknown,553,11,38,0,0,4,0,0,0,53,35
Cosmic Latte,2008-06-13 08:21:00,0,0,17,4386,3522,238,263,0,0,0,0,89,7,0,0,0,0,267,unknown,524,47,49,3,3,14,4,0,0,120,2
Crash Underride,2008-02-26 11:57:00,0,0,9,1130,793,66,169,0,0,0,3,35,20,1,0,0,0,43,male,310,2,4,0,0,1,0,0,0,7,1
Cream,2008-06-24 00:10:00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,104,0,0,0,0,0,0,0,0,0,13
crimsonterminator1000,2008-11-28 04:24:00,0,0,2,53,21,17,4,0,0,0,0,10,0,0,0,0,0,1,unknown,208,0,0,0,0,0,0,0,0,0,1
Cssiitcic,2008-04-18 22:06:00,0,0,4,67,40,11,5,0,0,1,0,7,0,0,0,0,0,3,unknown,6,7,39,0,2,0,0,0,0,48,1
Ctjf83,2008-03-20 05:07:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1595,0,0,0,0,0,0,0,0,0,0
Cubs Fan,2008-07-05 08:25:00,0,0,39,2823,2111,21,527,51,0,8,0,36,1,1,0,0,0,67,unknown,1020,0,0,0,0,0,0,0,0,0,2
CWii,2008-11-04 04:25:00,0,4,16,17609,7154,1154,7101,46,1,40,7,1610,68,10,2,0,0,416,male,661,0,18,0,0,0,0,0,0,18,21
